id,prediction
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,0
12,1
13,0
14,1
15,1
16,2
17,1
18,1
19,2
20,1
21,1
22,2
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,2
37,1
38,1
39,2
40,2
41,1
42,1
43,2
44,1
45,1
46,1
47,2
48,2
49,1
50,1
51,1
52,1
53,1
54,2
55,1
56,1
57,1
58,1
59,1
60,1
61,2
62,1
63,1
64,1
65,1
66,2
67,2
68,0
69,1
70,1
71,1
72,2
73,1
74,1
75,1
76,2
77,2
78,1
79,1
80,2
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,2
89,1
90,2
91,1
92,1
93,2
94,1
95,1
96,1
97,1
98,2
99,1
100,1
101,1
102,0
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,0
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,2
123,1
124,1
125,2
126,2
127,2
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,2
136,2
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,0
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,2
155,1
156,1
157,1
158,2
159,1
160,1
161,1
162,1
163,0
164,1
165,1
166,2
167,2
168,1
169,1
170,1
171,1
172,2
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,2
181,2
182,1
183,2
184,1
185,0
186,1
187,2
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,2
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,0
204,1
205,1
206,2
207,1
208,1
209,1
210,1
211,1
212,2
213,1
214,1
215,1
216,1
217,1
218,1
219,2
220,1
221,1
222,1
223,2
224,1
225,1
226,1
227,2
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,2
244,1
245,2
246,1
247,1
248,1
249,1
250,1
251,1
252,2
253,1
254,2
255,1
256,1
257,1
258,1
259,1
260,2
261,1
262,2
263,1
264,1
265,1
266,1
267,2
268,2
269,1
270,1
271,2
272,1
273,2
274,2
275,1
276,1
277,2
278,1
279,1
280,1
281,1
282,1
283,0
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,2
294,1
295,1
296,1
297,2
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,2
309,1
310,1
311,1
312,1
313,1
314,0
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,0
325,1
326,1
327,1
328,2
329,1
330,1
331,1
332,2
333,1
334,1
335,1
336,1
337,1
338,1
339,2
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,0
349,2
350,1
351,0
352,1
353,1
354,1
355,1
356,1
357,2
358,0
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,2
373,1
374,1
375,1
376,1
377,1
378,2
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,2
388,1
389,1
390,1
391,1
392,2
393,1
394,1
395,1
396,1
397,2
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,2
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,2
415,1
416,1
417,2
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,0
428,1
429,2
430,1
431,1
432,1
433,1
434,2
435,2
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,2
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,0
462,1
463,1
464,1
465,1
466,1
467,2
468,0
469,1
470,1
471,1
472,1
473,1
474,1
475,2
476,1
477,1
478,2
479,1
480,1
481,2
482,1
483,1
484,2
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,2
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,2
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,2
526,2
527,1
528,1
529,1
530,1
531,1
532,2
533,1
534,1
535,1
536,1
537,2
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,2
551,1
552,1
553,1
554,1
555,1
556,1
557,0
558,1
559,1
560,2
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,2
578,2
579,2
580,0
581,1
582,1
583,1
584,1
585,2
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,2
603,2
604,2
605,1
606,1
607,2
608,1
609,2
610,1
611,2
612,1
613,1
614,1
615,1
616,1
617,2
618,1
619,2
620,1
621,1
622,1
623,1
624,1
625,1
626,1
627,1
628,1
629,1
630,2
631,1
632,1
633,1
634,1
635,0
636,2
637,1
638,2
639,1
640,1
641,1
642,2
643,1
644,1
645,1
646,1
647,1
648,1
649,2
650,1
651,2
652,1
653,1
654,1
655,1
656,1
657,1
658,1
659,2
660,1
661,1
662,1
663,1
664,0
665,1
666,1
667,2
668,2
669,2
670,2
671,2
672,1
673,1
674,1
675,1
676,0
677,1
678,2
679,1
680,2
681,1
682,0
683,0
684,1
685,1
686,1
687,1
688,0
689,2
690,1
691,0
692,1
693,0
694,1
695,2
696,1
697,2
698,1
699,1
700,1
701,1
702,1
703,1
704,1
705,1
706,1
707,1
708,2
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,1
723,1
724,1
725,2
726,2
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,2
735,1
736,1
737,1
738,2
739,1
740,1
741,1
742,1
743,1
744,1
745,1
746,1
747,1
748,1
749,1
750,1
751,1
752,1
753,2
754,1
755,1
756,1
757,2
758,1
759,1
760,2
761,1
762,1
763,1
764,1
765,2
766,1
767,2
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,2
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,2
787,1
788,1
789,1
790,1
791,1
792,1
793,1
794,1
795,1
796,1
797,1
798,1
799,0
800,1
801,1
802,1
803,2
804,1
805,1
806,1
807,1
808,1
809,1
810,2
811,1
